lon,lat,vs30,z1pt0,z2pt5,vs30measured
89.02320,23.26320,2.160000E+02,5.045152E+02,2.559166E+00,0
89.05420,23.06870,2.330000E+02,4.981725E+02,2.346705E+00,0
89.23150,22.88030,2.150000E+02,5.048482E+02,2.572788E+00,0
89.21880,23.18240,2.330000E+02,4.981725E+02,2.346705E+00,0
89.21980,23.00640,2.270000E+02,5.005620E+02,2.417798E+00,0
88.94100,23.04470,2.280000E+02,5.001754E+02,2.405670E+00,0
89.07680,23.64350,2.350000E+02,4.973381E+02,2.323871E+00,0
89.15750,23.51630,2.160000E+02,5.045152E+02,2.559166E+00,0
89.15230,23.36950,2.210000E+02,5.027852E+02,2.493038E+00,0
89.00140,23.44490,2.330000E+02,4.981725E+02,2.346705E+00,0
88.85970,23.32010,2.260000E+02,5.009439E+02,2.430041E+00,0
89.24260,23.66360,2.390000E+02,4.956111E+02,2.279431E+00,0
89.51490,22.71330,2.320000E+02,4.985826E+02,2.358280E+00,0
89.52630,22.24200,2.280000E+02,5.001754E+02,2.405670E+00,0
89.39800,22.80570,2.300000E+02,4.993884E+02,2.381754E+00,0
89.55370,22.92150,2.110000E+02,5.061375E+02,2.628660E+00,0
89.39500,22.07780,3.360000E+02,4.272711E+02,1.543766E+00,0
89.34020,22.59000,2.070000E+02,5.073603E+02,2.686851E+00,0
89.45410,22.94830,2.380000E+02,4.960502E+02,2.290391E+00,0
89.63620,22.81920,2.350000E+02,4.973381E+02,2.323871E+00,0
89.65510,22.91390,2.240000E+02,5.016940E+02,2.454878E+00,0
89.51390,22.87340,2.230000E+02,5.020622E+02,2.467475E+00,0
89.53730,22.85020,2.650000E+02,4.823993E+02,2.025444E+00,0
89.51450,22.90220,2.200000E+02,5.031400E+02,2.506006E+00,0
89.56920,22.79900,2.380000E+02,4.960502E+02,2.290391E+00,0
89.54250,22.82050,2.610000E+02,4.846641E+02,2.060995E+00,0
88.98110,24.05620,2.560000E+02,4.873738E+02,2.107109E+00,0
88.83550,24.03420,2.240000E+02,5.016940E+02,2.454878E+00,0
89.30040,23.81080,2.230000E+02,5.020622E+02,2.467475E+00,0
89.21030,23.85810,2.100000E+02,5.064494E+02,2.642985E+00,0
89.08970,23.82440,2.250000E+02,5.013212E+02,2.442400E+00,0
88.98610,23.89710,2.270000E+02,5.005620E+02,2.417798E+00,0
89.41240,23.45180,2.290000E+02,4.997842E+02,2.393656E+00,0
89.55060,23.40000,2.040000E+02,5.082349E+02,2.732100E+00,0
89.35920,23.34760,2.260000E+02,5.009439E+02,2.430041E+00,0
89.42410,23.59760,2.290000E+02,4.997842E+02,2.393656E+00,0
88.77060,23.85740,2.290000E+02,4.997842E+02,2.393656E+00,0
88.62060,23.66800,2.430000E+02,4.938053E+02,2.236557E+00,0
88.66140,23.76520,2.320000E+02,4.985826E+02,2.358280E+00,0
89.64160,23.02920,2.450000E+02,4.928723E+02,2.215683E+00,0
89.62410,23.20420,2.350000E+02,4.973381E+02,2.323871E+00,0
89.49500,23.15490,2.780000E+02,4.744315E+02,1.917460E+00,0
89.18740,22.51920,2.700000E+02,4.794456E+02,1.982592E+00,0
89.01340,22.59650,2.880000E+02,4.676579E+02,1.841487E+00,0
89.03010,22.88030,2.290000E+02,4.997842E+02,2.393656E+00,0
89.06230,22.44740,2.400000E+02,4.951671E+02,2.268569E+00,0
89.03820,22.72020,2.080000E+02,5.070608E+02,2.672078E+00,0
89.18060,22.01210,2.410000E+02,4.947182E+02,2.257803E+00,0
89.21050,22.73980,2.270000E+02,5.005620E+02,2.417798E+00,0
89.05960,24.80000,2.050000E+02,5.079474E+02,2.716859E+00,0
89.35600,24.89530,2.460000E+02,4.923983E+02,2.205382E+00,0
89.55010,24.68260,2.290000E+02,4.997842E+02,2.393656E+00,0
89.13980,24.88230,2.150000E+02,5.048482E+02,2.572788E+00,0
